"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"09.02.2023","6,800","6,798","6,828","6,650","11,73M","0,70%"
"08.02.2023","6,753","6,820","6,820","6,721","14,73M","-0,35%"
"07.02.2023","6,777","6,812","6,849","6,735","11,21M","-0,19%"
"06.02.2023","6,790","6,844","6,848","6,772","10,80M","-1,69%"
"03.02.2023","6,907","6,784","6,928","6,765","16,18M","1,60%"
"02.02.2023","6,798","6,723","6,960","6,700","21,94M","0,46%"
"01.02.2023","6,767","6,500","6,790","6,482","32,23M","4,70%"
"31.01.2023","6,463","6,460","6,482","6,375","13,75M","0,37%"
"30.01.2023","6,439","6,410","6,466","6,372","6,88M","0,08%"
"27.01.2023","6,434","6,450","6,507","6,404","18,64M","0,26%"
"26.01.2023","6,417","6,332","6,447","6,329","19,02M","1,99%"
"25.01.2023","6,292","6,356","6,381","6,264","16,92M","-2,16%"
"24.01.2023","6,431","6,461","6,507","6,350","9,18M","-0,29%"
"23.01.2023","6,450","6,387","6,508","6,340","11,26M","1,30%"
"20.01.2023","6,367","6,369","6,402","6,315","16,92M","0,90%"
"19.01.2023","6,310","6,390","6,413","6,191","18,79M","-2,06%"
"18.01.2023","6,443","6,404","6,486","6,404","15,19M","0,44%"
"17.01.2023","6,415","6,398","6,449","6,388","11,52M","0,27%"
"16.01.2023","6,398","6,370","6,414","6,340","7,11M","0,57%"
"13.01.2023","6,362","6,337","6,412","6,287","12,72M","0,65%"
"12.01.2023","6,321","6,295","6,357","6,252","13,22M","0,77%"
"11.01.2023","6,273","6,330","6,333","6,251","12,18M","-0,59%"
"10.01.2023","6,310","6,250","6,329","6,237","12,86M","0,53%"
"09.01.2023","6,277","6,210","6,286","6,201","19,67M","1,08%"
"06.01.2023","6,210","6,170","6,228","6,155","12,50M","0,91%"
"05.01.2023","6,154","6,070","6,168","6,040","15,48M","0,89%"
"04.01.2023","6,100","5,900","6,100","5,899","24,33M","3,94%"
"03.01.2023","5,869","5,763","5,899","5,740","13,86M","1,50%"
"02.01.2023","5,782","5,691","5,786","5,669","7,79M","2,63%"
"30.12.2022","5,634","5,683","5,688","5,630","7,80M","-1,19%"
"29.12.2022","5,702","5,628","5,720","5,610","8,44M","0,83%"
"28.12.2022","5,655","5,656","5,687","5,636","5,82M","0,11%"
"27.12.2022","5,649","5,667","5,690","5,629","6,96M","-0,30%"
"23.12.2022","5,666","5,650","5,693","5,622","6,92M","0,44%"
"22.12.2022","5,641","5,689","5,720","5,625","12,37M","-0,81%"
"21.12.2022","5,687","5,577","5,687","5,538","13,72M","2,34%"
"20.12.2022","5,557","5,374","5,583","5,355","17,60M","2,83%"
"19.12.2022","5,404","5,400","5,428","5,374","9,29M","0,11%"
"16.12.2022","5,398","5,316","5,425","5,301","34,32M","1,16%"
"15.12.2022","5,336","5,532","5,534","5,317","18,17M","-3,63%"
"14.12.2022","5,537","5,527","5,537","5,463","10,76M","-0,34%"
"13.12.2022","5,556","5,500","5,629","5,485","17,16M","1,22%"
"12.12.2022","5,489","5,513","5,531","5,463","10,47M","-0,80%"
"09.12.2022","5,533","5,520","5,539","5,473","10,82M","0,38%"
"08.12.2022","5,512","5,530","5,546","5,497","8,17M","-0,09%"
"07.12.2022","5,517","5,519","5,555","5,488","9,47M","-0,47%"
"06.12.2022","5,543","5,520","5,568","5,453","11,07M","-0,20%"
"05.12.2022","5,554","5,582","5,612","5,544","8,40M","-1,03%"
"02.12.2022","5,612","5,552","5,619","5,518","11,73M","0,83%"
"01.12.2022","5,566","5,640","5,665","5,564","15,28M","-0,82%"
"30.11.2022","5,612","5,611","5,642","5,535","70,04M","-0,21%"
"29.11.2022","5,624","5,561","5,663","5,525","12,41M","1,52%"
"28.11.2022","5,540","5,593","5,628","5,540","10,05M","-1,79%"
"25.11.2022","5,641","5,590","5,644","5,572","11,96M","1,09%"
"24.11.2022","5,580","5,536","5,598","5,524","8,36M","0,79%"
"23.11.2022","5,536","5,517","5,559","5,465","12,08M","0,31%"
"22.11.2022","5,519","5,460","5,557","5,459","13,24M","1,17%"
"21.11.2022","5,455","5,410","5,498","5,410","13,63M","0,13%"
"18.11.2022","5,448","5,380","5,448","5,354","16,37M","2,18%"
"17.11.2022","5,332","5,380","5,390","5,292","21,51M","-0,56%"
"16.11.2022","5,362","5,396","5,425","5,351","10,82M","-0,91%"
"15.11.2022","5,411","5,381","5,444","5,339","14,25M","0,78%"
"14.11.2022","5,369","5,300","5,385","5,267","9,24M","1,36%"
"11.11.2022","5,297","5,290","5,335","5,223","12,20M","-0,17%"
"10.11.2022","5,306","5,260","5,347","5,207","16,91M","0,36%"
"09.11.2022","5,287","5,294","5,392","5,286","20,35M","-0,62%"
"08.11.2022","5,320","5,340","5,357","5,299","8,61M","-0,32%"
"07.11.2022","5,337","5,283","5,370","5,255","9,77M","0,62%"
"04.11.2022","5,304","5,285","5,338","5,227","12,71M","1,47%"
"03.11.2022","5,227","5,253","5,253","5,154","12,19M","-1,12%"
"02.11.2022","5,286","5,298","5,333","5,261","12,86M","0,59%"
"01.11.2022","5,255","5,249","5,299","5,229","11,44M","0,88%"
"31.10.2022","5,209","5,240","5,272","5,172","15,56M","-0,71%"
"28.10.2022","5,246","5,197","5,248","5,021","20,86M","-0,23%"
"27.10.2022","5,258","5,206","5,258","5,127","13,73M","0,71%"
"26.10.2022","5,221","5,269","5,290","5,183","12,92M","-0,17%"
"25.10.2022","5,230","5,204","5,265","5,134","15,24M","0,79%"
"24.10.2022","5,189","5,060","5,207","5,027","19,20M","3,79%"
"21.10.2022","4,999","5,010","5,032","4,903","14,47M","-0,94%"
"20.10.2022","5,047","4,940","5,074","4,935","14,98M","1,65%"
"19.10.2022","4,965","4,960","4,988","4,890","16,02M","0,43%"
"18.10.2022","4,944","4,883","5,016","4,869","87,79M","1,76%"
"17.10.2022","4,858","4,747","4,891","4,718","104,74M","2,35%"
"14.10.2022","4,747","4,791","4,840","4,727","14,57M","0,54%"
"13.10.2022","4,721","4,550","4,740","4,532","14,50M","3,01%"
